room_number,latitude,longitude
2188,42.29313318992676,-83.71318325656826
2205,42.2931000380782,-83.71316603441176
2207,42.2930997097473,-83.71319201239356
2204,42.29305958639106,-83.71317163867691
2409D,42.29322536043068,-83.71323679926802
2209,42.29314662635461,-83.71324842953921
2227,42.29308149655153,-83.71330700611513
2223,42.29314812113756,-83.71332594775045
2208,42.2930699322762,-83.71322423736619
2210,42.29303103178728,-83.71322774857099
2212,42.29303349382646,-83.71325247311681
2212A,42.29299786066243,-83.7132377617764
2220,42.29300585001177,-83.71333540051151
2409C,42.2932633100139,-83.71326303636769
2409A,42.29329895360107,-83.71326308251935
2409B,42.29328299281035,-83.7132611763153
2409,42.29324932393083,-83.71331748924408
2420,42.29330196346281,-83.71342969690465
2424,42.29330113622595,-83.71346726577629
2428,42.29330206540203,-83.71350627852001
2436,42.29330276776911,-83.71355200006336
2442A,42.29336432248306,-83.71361326922803
2442,42.29330301547262,-83.71360814597885
2444,42.29329982528527,-83.71365717259694
2446,42.29327867825531,-83.71365904320899
2450,42.29330120900333,-83.71368576088815
2454,42.29330160557964,-83.71373045056154
2458,42.29330139163187,-83.71377606930686
2464,42.29330186410131,-83.71381952038351
2468,42.29330241348133,-83.71386472600418
2472,42.29330143616541,-83.71391075806211
2476,42.29330099338672,-83.71395709954245
2480,42.29330146479735,-83.71399755753545
2425,42.29323685087161,-83.71345956390499
2421,42.29320416820013,-83.71343894193492
2435,42.29322634628837,-83.71355266542868
2443,42.29322629229049,-83.71361975176985
2231,42.29314943333693,-83.71345301186479
2253A,42.29314969708503,-83.71355704690868
2253,42.29312543681658,-83.71360969855424
2233,42.29308272820731,-83.71351487503901
20S3,42.29301009538104,-83.71342966843444
2234,42.29300651760327,-83.71346094303694
2240,42.29300584620732,-83.71350800689055
2244,42.29300601403968,-83.7135534188904
2252A,42.2930064086552,-83.71359212213018
2252,42.2930023112346,-83.7136679834601
2271,42.2930964606711,-83.71371519626622
2461,42.29318918123154,-83.71372711808212
2467,42.29323198244737,-83.71387158572593
2477,42.2932334479855,-83.71391689394403
2479,42.29321352529035,-83.71397967739027
2275,42.29318562766912,-83.71388401886747
2295A,42.29317252806085,-83.71398032131845
2277,42.2931055425346,-83.71388726670922
2295,42.29310595480641,-83.71397984535409
2258,42.29303493739405,-83.71369977795443
2260,42.29303715836928,-83.71372072810988
2264,42.29302051828309,-83.71373033667041
2270,42.29302878274014,-83.7137881289339
2272,42.29302970585978,-83.71380918310905
2278,42.29300217133473,-83.7138881548392
2286,42.29300257571331,-83.71395678878467
2316C,42.29302266638918,-83.71402780622981
2316B,42.29302329161123,-83.71407177302829
2316A,42.2930231525159,-83.7141131600568
2310,42.29303561109012,-83.7141567069491
